# cell_number,T2_degC,LON,LAT
1.000000000000000000e+00,2.796635131835937500e+02,-1.561920166015625000e+01,2.795084762573242188e+01
2.000000000000000000e+00,2.795325012207031250e+02,-1.561691284179687500e+01,2.795082855224609375e+01
3.000000000000000000e+00,2.793526611328125000e+02,-1.561462402343750000e+01,2.795080947875976562e+01
4.000000000000000000e+00,2.791252136230468750e+02,-1.561236572265625000e+01,2.795078277587890625e+01
5.000000000000000000e+00,2.788475952148437500e+02,-1.561007690429687500e+01,2.795075225830078125e+01
6.000000000000000000e+00,2.784750061035156250e+02,-1.560778808593750000e+01,2.795072555541992188e+01
7.000000000000000000e+00,2.781728210449218750e+02,-1.560549926757812500e+01,2.795069885253906250e+01
8.000000000000000000e+00,2.778922729492187500e+02,-1.560324096679687500e+01,2.795068359375000000e+01
9.000000000000000000e+00,2.776371459960937500e+02,-1.560095214843750000e+01,2.795066452026367188e+01
1.000000000000000000e+01,2.774581604003906250e+02,-1.559866333007812500e+01,2.795063018798828125e+01
1.100000000000000000e+01,2.772846374511718750e+02,-1.559637451171875000e+01,2.795061874389648438e+01
1.200000000000000000e+01,2.771885070800781250e+02,-1.559411621093750000e+01,2.795058822631835938e+01
1.300000000000000000e+01,2.771423950195312500e+02,-1.559182739257812500e+01,2.795056915283203125e+01
1.400000000000000000e+01,2.771961059570312500e+02,-1.558953857421875000e+01,2.795053482055664062e+01
1.500000000000000000e+01,2.773158569335937500e+02,-1.558728027343750000e+01,2.795050811767578125e+01
1.600000000000000000e+01,2.775462951660156250e+02,-1.558499145507812500e+01,2.795050048828125000e+01
1.700000000000000000e+01,2.778470153808593750e+02,-1.558270263671875000e+01,2.795046615600585938e+01
1.800000000000000000e+01,2.780592346191406250e+02,-1.558041381835937500e+01,2.795045471191406250e+01
1.900000000000000000e+01,2.783451843261718750e+02,-1.557815551757812500e+01,2.795041275024414062e+01
2.000000000000000000e+01,2.785634155273437500e+02,-1.557586669921875000e+01,2.795038604736328125e+01
2.100000000000000000e+01,2.783798217773437500e+02,-1.557357788085937500e+01,2.795037841796875000e+01
2.200000000000000000e+01,2.784283447265625000e+02,-1.557128906250000000e+01,2.795035171508789062e+01
2.300000000000000000e+01,2.784934082031250000e+02,-1.556903076171875000e+01,2.795032882690429688e+01
2.400000000000000000e+01,2.784981994628906250e+02,-1.556674194335937500e+01,2.795030212402343750e+01
2.500000000000000000e+01,2.784810180664062500e+02,-1.556445312500000000e+01,2.795027542114257812e+01
2.600000000000000000e+01,2.785891418457031250e+02,-1.556216430664062500e+01,2.795024871826171875e+01
2.700000000000000000e+01,2.785859375000000000e+02,-1.555990600585937500e+01,2.795022964477539062e+01
2.800000000000000000e+01,2.784700012207031250e+02,-1.555761718750000000e+01,2.795019912719726562e+01
2.900000000000000000e+01,2.783083496093750000e+02,-1.555532836914062500e+01,2.795018768310546875e+01
3.000000000000000000e+01,2.781270141601562500e+02,-1.555307006835937500e+01,2.795015335083007812e+01
3.100000000000000000e+01,2.778153381347656250e+02,-1.555078125000000000e+01,2.795013809204101562e+01
3.200000000000000000e+01,2.776683044433593750e+02,-1.554849243164062500e+01,2.795011138916015625e+01
3.300000000000000000e+01,2.776057434082031250e+02,-1.554620361328125000e+01,2.795009231567382812e+01
3.400000000000000000e+01,2.775578918457031250e+02,-1.554394531250000000e+01,2.795005035400390625e+01
3.500000000000000000e+01,2.775706787109375000e+02,-1.554165649414062500e+01,2.795003509521484375e+01
3.600000000000000000e+01,2.777311706542968750e+02,-1.553936767578125000e+01,2.795000076293945312e+01
3.700000000000000000e+01,2.778545227050781250e+02,-1.553707885742187500e+01,2.794997406005859375e+01
3.800000000000000000e+01,2.779345397949218750e+02,-1.553482055664062500e+01,2.794994735717773438e+01
3.900000000000000000e+01,2.780986328125000000e+02,-1.553253173828125000e+01,2.794992828369140625e+01
4.000000000000000000e+01,2.782831726074218750e+02,-1.553024291992187500e+01,2.794990158081054688e+01
4.100000000000000000e+01,2.784936828613281250e+02,-1.552798461914062500e+01,2.794988632202148438e+01
4.200000000000000000e+01,2.786993103027343750e+02,-1.552569580078125000e+01,2.794985198974609375e+01
4.300000000000000000e+01,2.788931274414062500e+02,-1.552340698242187500e+01,2.794983291625976562e+01
4.400000000000000000e+01,2.790816040039062500e+02,-1.552111816406250000e+01,2.794981002807617188e+01
4.500000000000000000e+01,2.792730102539062500e+02,-1.551885986328125000e+01,2.794978332519531250e+01
4.600000000000000000e+01,2.794397888183593750e+02,-1.551657104492187500e+01,2.794974899291992188e+01
4.700000000000000000e+01,2.796336975097656250e+02,-1.551428222656250000e+01,2.794974136352539062e+01
4.800000000000000000e+01,2.798457336425781250e+02,-1.551199340820312500e+01,2.794969558715820312e+01
4.900000000000000000e+01,2.800772094726562500e+02,-1.550973510742187500e+01,2.794967269897460938e+01
5.000000000000000000e+01,2.803226013183593750e+02,-1.550744628906250000e+01,2.794964599609375000e+01
5.100000000000000000e+01,2.805929565429687500e+02,-1.550515747070312500e+01,2.794963455200195312e+01
5.200000000000000000e+01,2.808546447753906250e+02,-1.550289916992187500e+01,2.794959259033203125e+01
5.300000000000000000e+01,2.811169738769531250e+02,-1.550061035156250000e+01,2.794956588745117188e+01
5.400000000000000000e+01,2.813759155273437500e+02,-1.549832153320312500e+01,2.794955062866210938e+01
5.500000000000000000e+01,2.816293945312500000e+02,-1.549603271484375000e+01,2.794952392578125000e+01
5.600000000000000000e+01,2.818815612792968750e+02,-1.549377441406250000e+01,2.794951248168945312e+01
5.700000000000000000e+01,2.821014709472656250e+02,-1.549148559570312500e+01,2.794947052001953125e+01
